user_id,skill_name,type,activityId,correct,visited_At,order_Id,class
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1049,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1050,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1051,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1052,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1053,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1054,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1055,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1056,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1057,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1058,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1059,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1060,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1061,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1062,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1063,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1064,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1065,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,0,2023-03-19 17:21:57.493,1066,OBJ2000
norway22114,Nested Loops,Coding,symmetrical_array,1,2023-03-19 17:21:57.493,1067,OBJ2000
norway22114,Nested Loops,Coding,nested_loops_1,0,2023-03-19 17:39:21.558,1068,OBJ2000
norway22114,Boolean Expressions,Coding,love6,0,2023-03-19 17:51:56.205,1069,OBJ2000
norway22114,Boolean Expressions,Coding,love6,0,2023-03-19 17:51:56.205,1070,OBJ2000
norway22114,Boolean Expressions,Coding,love6,0,2023-03-19 17:51:56.205,1071,OBJ2000
norway22114,Boolean Expressions,Coding,love6,0,2023-03-19 17:51:56.205,1072,OBJ2000
norway22114,Boolean Expressions,Coding,love6,1,2023-03-19 17:51:56.205,1073,OBJ2000
norway22114,Boolean Expressions,Coding,is_special,0,2023-03-19 17:58:33.09,1074,OBJ2000
norway22114,Boolean Expressions,Coding,is_special,0,2023-03-19 17:58:33.09,1075,OBJ2000
norway22114,Boolean Expressions,Coding,is_special,0,2023-03-19 17:58:33.09,1076,OBJ2000
norway22114,Boolean Expressions,Coding,is_special,0,2023-03-19 17:58:33.09,1077,OBJ2000
norway22114,Boolean Expressions,Coding,is_special,1,2023-03-19 17:58:33.09,1078,OBJ2000
norway22114,Boolean Expressions,Coding,check_start_end_character,0,2023-03-19 18:01:01.861,1079,OBJ2000
norway22114,Boolean Expressions,Coding,check_start_end_character,0,2023-03-19 18:01:01.861,1080,OBJ2000
norway22114,Boolean Expressions,Coding,check_start_end_character,0,2023-03-19 18:01:01.861,1081,OBJ2000
norway22114,Boolean Expressions,Coding,check_start_end_character,0,2023-03-19 18:01:01.861,1082,OBJ2000
norway22114,Boolean Expressions,Coding,check_start_end_character,0,2023-03-19 18:01:01.861,1083,OBJ2000
norway22114,Boolean Expressions,Coding,check_start_end_character,1,2023-03-19 18:01:01.861,1084,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-20 01:10:45.271,1197,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-20 01:10:45.271,1198,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-20 01:10:45.271,1199,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-20 01:10:45.271,1200,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,1,2023-03-20 01:10:45.271,1201,OBJ2000
norway22108,Boolean Expressions,Coding,in_order,0,2023-03-20 01:20:57.757,1202,OBJ2000
norway22108,Boolean Expressions,Coding,in_order,0,2023-03-20 01:20:57.757,1203,OBJ2000
norway22108,Boolean Expressions,Coding,in_order,0,2023-03-20 01:20:57.757,1204,OBJ2000
norway22108,Boolean Expressions,Coding,in_order,0,2023-03-20 01:20:57.757,1205,OBJ2000
norway22108,Boolean Expressions,Coding,in_order,0,2023-03-20 01:20:57.757,1206,OBJ2000
norway22108,Boolean Expressions,Coding,in_order,0,2023-03-20 01:20:57.757,1207,OBJ2000
norway22108,Boolean Expressions,Coding,in_order,0,2023-03-20 01:20:57.757,1208,OBJ2000
norway22108,Boolean Expressions,Coding,in_order,1,2023-03-20 01:20:57.757,1209,OBJ2000
norway22108,Boolean Expressions,Coding,squirrel_play,0,2023-03-20 01:25:47.43,1210,OBJ2000
norway22108,Boolean Expressions,Coding,squirrel_play,0,2023-03-20 01:25:47.43,1211,OBJ2000
norway22108,Boolean Expressions,Coding,squirrel_play,0,2023-03-20 01:25:47.43,1212,OBJ2000
norway22108,Boolean Expressions,Coding,squirrel_play,1,2023-03-20 01:25:47.43,1213,OBJ2000
norway22108,Arrays,Coding,arrays_1,0,2023-03-20 01:29:15.295,1214,OBJ2000
norway22108,Arrays,Coding,arrays_1,0,2023-03-20 01:29:15.295,1215,OBJ2000
