user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22118,Objects and Classes,Coding,object_classes_1,1,,,,2023-04-05 20:09:49.511,,6703,OBJ2100
norway22118,Objects and Classes,Coding,object_classes_2,1,,,,2023-04-05 20:14:10.103,,6704,OBJ2100
norway22118,Objects and Classes,Coding,object_classes_3,1,,,,2023-04-05 20:14:10.775,,6705,OBJ2100
norway22118,Objects and Classes,Coding,object_classes_4,1,,,,2023-04-05 20:14:12.853,,6706,OBJ2100
norway22118,Objects and Classes,Coding,object_classes_4,-1,,,,2023-04-05 20:14:12.854,,6707,OBJ2100
norway22118,ArrayLists,Coding,array_lst_1,1,,,,2023-04-05 20:22:17.458,,6708,OBJ2100
norway22118,ArrayLists,Coding,array_lst_1,-1,,,,2023-04-05 20:22:17.459,,6709,OBJ2100
norway22118,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,,,,2023-04-05 20:24:41.439,,6710,OBJ2100
norway22118,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,1,,,,2023-04-05 20:25:28.741,,6711,OBJ2100
norway22118,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,1,,,,2023-04-05 20:26:10.688,,6712,OBJ2100
norway22118,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,-1,,,,2023-04-05 20:26:10.689,,6713,OBJ2100
norway22118,Inheritance,Coding,inheritance_1,1,,,,2023-04-05 20:26:57.428,,6714,OBJ2100
norway22118,Inheritance,Coding,inheritance_2,1,,,,2023-04-05 20:28:17.172,,6715,OBJ2100
norway22118,Inheritance,Coding,inheritance_2,-1,,,,2023-04-05 20:28:17.173,,6716,OBJ2100
norway22128,For Loops,Challenges,JForOne2,1,1,1,1,2023-04-05 20:41:40.862,2023-04-05 20:42:00.407,6717,OBJ2100
norway22128,For Loops,Challenges,JForTwo2,0,2,0.5,"0,1",2023-04-05 20:42:03.329,2023-04-05 20:42:38.647,6718,OBJ2100
norway22128,For Loops,Challenges,JForThree2,1,1,1,1,2023-04-05 20:42:59.007,2023-04-05 20:43:26.748,6719,OBJ2100
norway22128,For Loops,Challenges,JWriteSquaresOdd,0,3,0,"0,0,0",2023-04-05 20:43:39.73,#N/A,6720,OBJ2100
norway22128,For Loops,Challenges,JWriteSquaresOdd,-1,3,0,"0,0,0",2023-04-05 20:43:39.74,#N/A,6721,OBJ2100
norway22155,Boolean Expressions,Coding,check_start_end_character,1,,,,2023-04-05 21:07:56.404,,6722,OBJ2100
norway22155,Boolean Expressions,Coding,love6,0,,,,2023-04-05 21:08:25.357,,6723,OBJ2100
norway22155,Boolean Expressions,Coding,love6,1,,,,2023-04-05 21:08:25.357,,6724,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6725,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6726,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6727,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6728,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6729,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6730,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6731,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6732,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6733,OBJ2100
norway22155,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 21:10:22.097,,6734,OBJ2100
